obsid,canonical_source,class_label,start_time,exposure,target_name,FPMA_available,FPMB_available,archive_status,download_status,processing_status,exclusion_reason,source_id,exposure_a,exposure_b,public_date_mjd,pointing_separation_arcmin,identity_status,census_candidate,issue_flag,comments,solar_activity,data_gap,nupsdout,archive_cycle,archive_url
30002002012,1A 1742-289,NS,2015-04-02T08:21:07.200,13169.1954,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,13169.1954,13224.907,57513,2.5467214177765447,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30002002012/
30302006002,1A 1742-289,NS,2017-04-06T01:21:12.960,65020.7746,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,65020.7746,65093.4169,57857,2.6772611664219506,REVIEW_REQUIRED,False,0,(1/3),null,0,null,3,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/03/3/30302006002/
30302006004,1A 1742-289,NS,2017-04-11T03:51:07.200,18579.9472,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,18579.9472,18604.3111,57857,2.73117350497874,REVIEW_REQUIRED,False,0,(2/3),null,0,null,3,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/03/3/30302006004/
30302006006,1A 1742-289,NS,2017-04-12T05:36:05.760,20343.2806,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,20343.2806,20378.9888,57869,2.3398941527718033,REVIEW_REQUIRED,False,0,(3/3),null,0,null,3,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/03/3/30302006006/
30302007002,1A 1742-289,NS,2017-07-15T22:51:10.080,45872.2084,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,46156.994,45872.2084,57960,1.4253114699169396,REVIEW_REQUIRED,False,1,(1/2) / Kp=6,Solar CME,0,null,3,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/03/3/30302007002/
30302007004,1A 1742-289,NS,2017-07-25T22:36:11.520,51302.7302,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,51569.624,51302.7302,57970,1.5244223449892809,REVIEW_REQUIRED,False,0,(2/2),null,0,null,3,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/03/3/30302007004/
30502005002,1A 1742-289,NS,2019-03-24T21:11:05.280,15420.7966,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,15455.155,15420.7966,58570,3.366052812724478,REVIEW_REQUIRED,False,0,null,null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502005002/
30502005004,1A 1742-289,NS,2019-03-29T04:11:08.160,152778.6248,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,153015.4806,152778.6248,58584,3.1253309324579144,REVIEW_REQUIRED,False,0,null,null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502005004/
30502006002,1A 1742-289,NS,2019-07-17T21:51:07.200,38158.0589,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,38556.2473,38158.0589,58693,1.5813780467082597,REVIEW_REQUIRED,False,0,(1/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502006002/
30502006004,1A 1742-289,NS,2019-07-26T00:41:11.040,34372.2845,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,34749.5942,34372.2845,58711,1.6694766391085252,REVIEW_REQUIRED,False,0,(2/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502006004/
30502014002,1A 1742-289,NS,2019-08-13T16:26:06.720,99883.6927,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,100861.5374,99883.6927,59730,1.3406029476864567,REVIEW_REQUIRED,False,0,(1/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502014002/
30502014004,1A 1742-289,NS,2019-08-19T19:01:12.000,19490.5849,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,19686.983,19490.5849,59730,1.4032271414756452,REVIEW_REQUIRED,False,0,(2/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502014004/
30502014006,1A 1742-289,NS,2021-03-30T04:46:07.680,52123.5415,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,52551.0122,52123.5415,59730,4.163683653006983,REVIEW_REQUIRED,False,0,(2a/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502014006/
30502014008,1A 1742-289,NS,2021-05-23T04:56:12.480,19113.5012,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,19241.8615,19113.5012,59730,3.7056253273801576,REVIEW_REQUIRED,False,1,(2b/2) / M-class flare,null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502014008/
30502014010,1A 1742-289,NS,2021-05-24T01:51:10.080,55018.8207,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,55434.8136,55018.8207,59730,3.064546845918635,REVIEW_REQUIRED,False,0,(2c/2),null,0,null,5,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/05/3/30502014010/
30602006002,1A 1742-289,NS,2020-03-26T03:46:13.440,26054.742,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,26095.8933,26054.742,58956,2.990814664209449,REVIEW_REQUIRED,False,0,(1/3),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602006002/
30602006004,1A 1742-289,NS,2020-03-30T04:26:06.720,22456.4501,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,22478.6379,22456.4501,58956,3.09603516480278,REVIEW_REQUIRED,False,0,(2/3),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602006004/
30602006006,1A 1742-289,NS,2020-03-31T04:36:11.520,23480.0375,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,23504.9349,23480.0375,58956,3.90981009217086,REVIEW_REQUIRED,False,0,(3/3),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602006006/
30602020001,1A 1742-289,NS,2021-06-19T21:41:11.040,13668.4135,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,13802.8315,13668.4135,60062,4.361188008691759,REVIEW_REQUIRED,False,0,(1/4) / INERTIAL only,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020001/
30602020002,1A 1742-289,NS,2021-06-25T22:41:05.280,19975.1857,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,20154.8636,19975.1857,60062,1.5293244107825912,REVIEW_REQUIRED,False,0,(2/4) / INERTIAL only,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020002/
30602020004,1A 1742-289,NS,2021-07-29T20:06:08.640,20981.202,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,21216.7085,20981.202,60062,2.3972314572857223,REVIEW_REQUIRED,False,0,(3/4),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020004/
30602020006,1A 1742-289,NS,2022-03-20T03:36:08.640,33168.3832,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,33370.0078,33168.3832,60062,3.664698857412359,REVIEW_REQUIRED,False,0,(4/5),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020006/
