model,split,unit,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
forest,grouped,observation_descriptive_only,0.7659074423328014,0.6503336718409981,0.4039599556656845,0.9151973131821999,0.8706070287539937,0.9646017699115044,0.9364468830037711,0.11710370152400595,0.8529839883551674
forest,loso,observation_descriptive_only,0.7804294211518932,0.6550848687073842,0.4562982921579951,0.9234608985024958,0.8712715855572999,0.9823008849557522,0.9428835675788322,0.11339828474596972,0.86608442503639
forest,observation,observation_descriptive_only,0.9075148701581314,0.7247569998549253,0.579047398967127,0.9367088607594937,0.8951612903225806,0.9823008849557522,0.976869259815607,0.08132603945212187,0.8908296943231441
logistic,grouped,observation_descriptive_only,0.7587117365443203,0.6786957783258378,0.4405572273425741,0.9168081494057725,0.8809135399673735,0.9557522123893806,0.9259918712533897,0.12038401863573804,0.8573508005822417
logistic,loso,observation_descriptive_only,0.8748295372116641,0.6868924996373132,0.4554058512199026,0.9183673469387755,0.88379705400982,0.9557522123893806,0.9696380442034638,0.09901033811870193,0.8602620087336245
logistic,observation,observation_descriptive_only,0.8132743362831859,0.6824677208762513,0.4324554362957911,0.9137489325362937,0.8828382838283828,0.9469026548672567,0.9468424145122167,0.13096840287904532,0.8529839883551674
prior,grouped,observation_descriptive_only,0.5,0.5,0.0,0.902555910543131,0.8224163027656477,1.0,0.8224163027656477,0.25,0.8224163027656477
prior,loso,observation_descriptive_only,0.5,0.5,0.0,0.902555910543131,0.8224163027656477,1.0,0.8224163027656477,0.25,0.8224163027656477
prior,observation,observation_descriptive_only,0.5,0.5,0.0,0.902555910543131,0.8224163027656477,1.0,0.8224163027656477,0.25,0.8224163027656477
