model,split,analysis,unit,sources,observations,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy,AUROC_lower,AUROC_upper,balanced_accuracy_lower,balanced_accuracy_upper,MCC_lower,MCC_upper,F1_lower,F1_upper,precision_lower,precision_upper,recall_lower,recall_upper,PR_AUC_lower,PR_AUC_upper,Brier_lower,Brier_upper,accuracy_lower,accuracy_upper
prior,observation,primary,physical_source,29,687,0.5,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7586206896551724,0.25,0.7586206896551724,0.5,0.5,0.5,0.5,0.0,0.0,0.8627450980392157,0.8627450980392157,0.7586206896551724,0.7586206896551724,1.0,1.0,0.7586206896551724,0.7586206896551724,0.25,0.25,0.7586206896551724,0.7586206896551724
prior,grouped,primary,physical_source,29,687,0.5,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7586206896551724,0.25,0.7586206896551724,0.5,0.5,0.5,0.5,0.0,0.0,0.8627450980392157,0.8627450980392157,0.7586206896551724,0.7586206896551724,1.0,1.0,0.7586206896551724,0.7586206896551724,0.25,0.25,0.7586206896551724,0.7586206896551724
prior,loso,primary,physical_source,29,687,0.5,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7586206896551724,0.25,0.7586206896551724,0.5,0.5,0.5,0.5,0.0,0.0,0.8627450980392157,0.8627450980392157,0.7586206896551724,0.7586206896551724,1.0,1.0,0.7586206896551724,0.7586206896551724,0.25,0.25,0.7586206896551724,0.7586206896551724
logistic,observation,primary,physical_source,29,687,0.9870129870129871,0.8571428571428572,0.809173593712687,0.9565217391304348,0.9166666666666666,1.0,0.9959575997125403,0.11557426148807981,0.9310344827586207,0.9415584415584415,1.0,0.7142857142857143,1.0,0.6021937915964948,1.0,0.9166666666666666,1.0,0.8461538461538461,1.0,1.0,1.0,0.9831818181818182,1.0,0.09357335724666371,0.13910314984798303,0.8620689655172413,1.0
logistic,grouped,primary,physical_source,29,687,0.948051948051948,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9821173822581082,0.10511292628338725,0.896551724137931,0.8441558441558441,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.9470788683121341,1.0,0.07576683107882706,0.13867605660077884,0.7931034482758621,0.9655172413793104
logistic,loso,primary,physical_source,29,687,0.9935064935064936,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9980237154150196,0.08355464474370555,0.8620689655172413,0.961038961038961,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.989090909090909,1.0,0.05664323048789572,0.11289969570577903,0.7931034482758621,0.9655172413793104
forest,observation,primary,physical_source,29,687,0.9935064935064936,0.8571428571428572,0.809173593712687,0.9565217391304348,0.9166666666666666,1.0,0.9980237154150196,0.05406954481515465,0.9310344827586207,0.961038961038961,1.0,0.7142857142857143,1.0,0.6021937915964948,1.0,0.9166666666666666,1.0,0.8461538461538461,1.0,1.0,1.0,0.9890909090909089,1.0,0.025102466134146365,0.08946575490863165,0.8620689655172413,1.0
forest,grouped,primary,physical_source,29,687,0.9090909090909091,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9689534668851747,0.09860258726568001,0.8620689655172413,0.7532467532467533,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.9191647011375987,1.0,0.06102025633738195,0.14080507512251683,0.7931034482758621,0.9655172413793104
forest,loso,primary,physical_source,29,687,0.948051948051948,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9821173822581082,0.09520262283244124,0.896551724137931,0.8441558441558441,1.0,0.6428571428571428,0.9285714285714286,0.48249790963716394,0.9054699202058099,0.8979591836734694,0.9777777777777777,0.8148148148148148,0.9565217391304348,1.0,1.0,0.9473665372412557,1.0,0.06251547144528144,0.13287890696486687,0.8275862068965517,0.9655172413793104
