source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error,median_nearest_training_spectral_distance,model,split
4u_1728_34,4U 1728-34,NS,32,0.7779680972053006,0.6962113312781155,0.24924383771380146,0.12106957316189533,0.9815260586872315,0.71875,-0.3037886687218845,0.4217313723739823,logistic,loso
4u_1735_444,4U 1735-444,NS,31,0.9994331520041154,0.9971841001746378,0.008245015823480287,0.9527636653585757,0.9999987516991045,1.0,-0.0028158998253622336,0.2681133912605532,logistic,loso
4u_1746_37,4U 1746-37,NS,17,0.9452002196699284,0.9364304091747928,0.048996526067900996,0.7563913628193335,0.9715728112715821,1.0,-0.06356959082520719,0.11114322099699671,logistic,loso
aql_x_1,Aql X-1,NS,29,0.8436648945953541,0.7697872377114394,0.1847037697694112,0.355419143037952,0.9931512748263536,0.8275862068965517,-0.23021276228856058,0.17862005912500206,logistic,loso
cyg_x_2,Cyg X-2,NS,28,0.9851868704883122,0.976545628571553,0.02504707277488217,0.8796325958684308,0.9984493564062903,1.0,-0.023454371428446974,0.6598258757011275,logistic,loso
gs_1354_64,GS 1354-64,BH,7,0.47325279173197593,0.4748262677561152,0.1149787938185712,0.3159492079506262,0.6338123454502703,0.5714285714285714,0.4748262677561152,0.25511779487835007,logistic,loso
gx_339_4,GX 339-4,BH,22,0.5070365348435653,0.5627103371560149,0.23989780189723067,0.0006855090839705865,0.7783274718938255,0.3181818181818182,0.5627103371560149,0.3167131394458552,logistic,loso
hete_j1900_1_2455,HETE J1900.1-2455,NS,30,0.7509121819613506,0.7468464822970096,0.05125443013386438,0.6447349645310335,0.8626621867513736,1.0,-0.25315351770299044,0.09093985817073996,logistic,loso
igr_j00291_5934,IGR J00291+5934,NS,5,0.7507620103156702,0.7430671475343017,0.0886543121166571,0.5709177226982283,0.808187912244882,1.0,-0.2569328524656983,0.05719574589228225,logistic,loso
ks_1731_260,KS 1731-260,NS,25,0.7663863107030907,0.6995550354523982,0.21901931783049058,0.35148257380457937,0.9661076651793485,0.64,-0.30044496454760183,0.14971983397691374,logistic,loso
mxb_1658_298,MXB 1658-298,NS,25,0.8375442722021399,0.8371887972074389,0.012411236239314444,0.7980507858317729,0.854515533646619,1.0,-0.16281120279256112,0.10527453506790686,logistic,loso
sax_j1750_8_2900,SAX J1750.8-2900,NS,32,0.8361356239427985,0.8090109049594449,0.10292199253550158,0.5601225186594815,0.9812548738926177,1.0,-0.19098909504055506,0.11781651414984923,logistic,loso
sax_j1806_5_2215,SAX J1806.5-2215,NS,32,0.811946821166767,0.8076628861996569,0.04246693977461087,0.7455543202437339,0.9094711877896006,1.0,-0.19233711380034313,0.07997393655999913,logistic,loso
sax_j1808_4_3658,SAX J1808.4-3658,NS,14,0.7375225848589843,0.72846261802049,0.09108152095230072,0.5750287965471231,0.828987095150554,1.0,-0.27153738197951005,0.08382338384858902,logistic,loso
sax_j1810_8_2609,SAX J1810.8-2609,NS,31,0.750465246319476,0.7487532003353803,0.03491267882722776,0.6847752554773311,0.8122528825726294,1.0,-0.2512467996646197,0.0894364079437851,logistic,loso
ser_x_1,Ser X-1,NS,17,0.9515720917623673,0.9506260769730953,0.009814157138048432,0.932605128705856,0.965931827542173,1.0,-0.04937392302690469,0.24804197743256504,logistic,loso
slx_1735_269,SLX 1735-269,NS,28,0.8118444443461186,0.8102802825003211,0.02648931375347687,0.7746084262869704,0.8649007036421794,1.0,-0.18971971749967886,0.07346943387056151,logistic,loso
v4641_sgr,V4641 Sgr,BH,5,0.5237823218705748,0.5279976408353036,0.235631798679289,0.1657296877192463,0.7838274109274789,0.4,0.5279976408353036,0.32607425875676815,logistic,loso
xte_j1118_480,XTE J1118+480,BH,22,0.7430742967438337,0.7324536058931465,0.09251734314367321,0.5279537278047436,0.8605828745848774,0.0,0.7324536058931465,0.10868447060700928,logistic,loso
xte_j1550_564,XTE J1550-564,BH,27,0.029788131539594496,0.2527171637205865,0.25857921985916815,4.5976619314796066e-11,0.6988598221636076,0.7407407407407407,0.2527171637205865,4.48604887506702,logistic,loso
xte_j1859_226,XTE J1859+226,BH,23,0.39463684593140647,0.4467899558511499,0.30207728376990634,0.04787736498061177,0.8300051698643993,0.5217391304347826,0.4467899558511499,0.4359958029349527,logistic,loso
1a_1744_361,1A 1744-361,NS,27,0.9088508023222364,0.9017101907937479,0.049347967166473404,0.7513707179449837,0.9576241823441941,1.0,-0.09828980920625208,0.11963661372914375,forest,loso
4u_0614_09,4U 0614+09,NS,31,0.8555565256528525,0.8499518155434306,0.04630203209204968,0.7126660266732128,0.9365535399491788,1.0,-0.15004818445656942,0.11258445317652,forest,loso
4u_1254_69,4U 1254-69,NS,11,0.870735890841433,0.8701313223216057,0.014203582881000645,0.8334709189387945,0.8854817689325404,1.0,-0.12986867767839427,0.07744468437686142,forest,loso
4u_1543_475,4U 1543-475,BH,16,0.7190957615588155,0.7044820122176099,0.26791260104143894,0.034814671814671815,0.9312678162381138,0.1875,0.7044820122176099,0.2205610996085839,forest,loso
4u_1608_522,4U 1608-522,NS,27,0.8549195697234172,0.8267772301505691,0.11013424801536566,0.551236990352052,0.9596478072806295,1.0,-0.17322276984943086,0.14168469512412565,forest,loso
4u_1636_536,4U 1636-536,NS,31,0.910354607299625,0.8884375147820871,0.10051675692370778,0.5805113678207351,0.9569925014818318,1.0,-0.1115624852179129,0.14866569665879817,forest,loso
4u_1702_429,4U 1702-429,NS,30,0.8761122768980335,0.8518177387600574,0.11553103397085619,0.5358888318284981,0.959557717673749,1.0,-0.1481822612399426,0.1071822486559528,forest,loso
4u_1705_44,4U 1705-44,NS,32,0.9093140432943985,0.8902278223052009,0.0950109524087675,0.5102576211669441,0.9541929264400949,1.0,-0.10977217769479908,0.178403485981535,forest,loso
4u_1728_34,4U 1728-34,NS,32,0.7470905304113935,0.7128525568863452,0.2662192813778565,0.0248989898989899,0.9416071588426085,0.78125,-0.2871474431136548,0.4217313723739823,forest,loso
4u_1735_444,4U 1735-444,NS,31,0.9252243120733867,0.9192681807484387,0.044895716780375974,0.7475121521101055,0.9507784300243033,1.0,-0.08073181925156125,0.2681133912605532,forest,loso
4u_1746_37,4U 1746-37,NS,17,0.8841439013882147,0.882270037725364,0.02779754046673859,0.7734649547093342,0.8924374171711258,1.0,-0.11772996227463595,0.11114322099699671,forest,loso
aql_x_1,Aql X-1,NS,29,0.8525740460991404,0.8106557989275496,0.15393289481668215,0.3427836214803677,0.9617251506513063,0.9655172413793104,-0.18934420107245042,0.17862005912500206,forest,loso
cyg_x_2,Cyg X-2,NS,28,0.8659855143236658,0.8518035523794664,0.08403960490194465,0.5537402491023586,0.9342302157679678,1.0,-0.14819644762053363,0.6598258757011275,forest,loso
gs_1354_64,GS 1354-64,BH,7,0.4294468898833033,0.4810289766874081,0.3065167313631563,0.05330868907609777,0.7601427178256198,0.42857142857142855,0.4810289766874081,0.25511779487835007,forest,loso
gx_339_4,GX 339-4,BH,22,0.5059081593366397,0.5376352898904287,0.28218224572774975,0.03384803921568627,0.8932078046734192,0.36363636363636365,0.5376352898904287,0.3167131394458552,forest,loso
