model,split,analysis,unit,sources,observations,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy,AUROC_lower,AUROC_upper,balanced_accuracy_lower,balanced_accuracy_upper,MCC_lower,MCC_upper,F1_lower,F1_upper,precision_lower,precision_upper,recall_lower,recall_upper,PR_AUC_lower,PR_AUC_upper,Brier_lower,Brier_upper,accuracy_lower,accuracy_upper
logistic,grouped,observation_weights,physical_source,29,687,0.9415584415584415,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9804507155914417,0.12058759147304646,0.8275862068965517,0.8181818181818182,1.0,0.5,0.7857142857142857,0.0,0.7091242083423347,0.8627450980392157,0.9361702127659575,0.7586206896551724,0.88,1.0,1.0,0.9424400391560638,1.0,0.09172598476954792,0.1496357909316501,0.7586206896551724,0.896551724137931
logistic,grouped,PCA_95pct,physical_source,29,687,0.6558441558441558,0.5974025974025974,0.24174688920761409,0.851063829787234,0.8,0.9090909090909091,0.8280012426279664,0.17013289222201558,0.7586206896551724,0.37662337662337664,0.9025974025974025,0.4318181818181818,0.7857142857142857,-0.19160711550797563,0.6021937915964948,0.7619047619047619,0.9166666666666666,0.7307692307692307,0.88,0.7727272727272727,1.0,0.7060074330584418,0.9679504460186278,0.12269358715466717,0.2187289238113001,0.6206896551724138,0.8620689655172413
logistic,grouped,SEM_same_cohort,physical_source,29,687,0.9675324675324676,0.9285714285714286,0.9054699202058099,0.9777777777777777,0.9565217391304348,1.0,0.9891280257777031,0.09098650340136961,0.9655172413793104,0.8831168831168831,1.0,0.7857142857142857,1.0,0.7091242083423347,1.0,0.9361702127659575,1.0,0.88,1.0,1.0,1.0,0.9604818153337887,1.0,0.06395501779106504,0.12144921280112855,0.896551724137931,1.0
logistic,grouped,drop_most_observed_4u_1705_44,physical_source,28,655,0.9319727891156462,0.7142857142857143,0.6,0.9130434782608695,0.84,1.0,0.9768033470698223,0.11967258579790208,0.8571428571428571,0.8095238095238095,1.0,0.5714285714285714,0.9285714285714286,0.3333333333333333,0.9045340337332909,0.875,0.9767441860465116,0.7777777777777778,0.9545454545454546,1.0,1.0,0.9352739779937586,1.0,0.08942634950439587,0.15132520234713046,0.7857142857142857,0.9642857142857143
logistic,grouped,exclude_above_1000_count_s_PCU,physical_source,29,674,0.9545454545454546,0.9058441558441559,0.8116883116883117,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9839289764610069,0.09660590617215617,0.9310344827586207,0.8441558441558441,1.0,0.7402597402597402,1.0,0.5076119249638631,1.0,0.8837209302325582,1.0,0.8695652173913043,1.0,0.8636363636363636,1.0,0.9473243062992922,1.0,0.0669548190557093,0.13199887547585903,0.8275862068965517,1.0
logistic,grouped,grouped_seed_43,physical_source,29,687,0.9545454545454545,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9856497649081379,0.12322134765364162,0.8620689655172413,0.8571428571428571,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.9565185461521839,1.0,0.09606652162283903,0.15066874636917954,0.7931034482758621,0.9655172413793104
logistic,grouped,grouped_seed_44,physical_source,29,687,0.9805194805194806,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.993793097548038,0.1221458664850513,0.896551724137931,0.922077922077922,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.9769834710743802,1.0,0.09706566838573549,0.14847812815253408,0.7931034482758621,0.9655172413793104
logistic,grouped,fixed_C_0.01,physical_source,29,687,0.9610389610389609,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9880421094057457,0.12577091607916613,0.8620689655172413,0.8766233766233766,1.0,0.5714285714285714,0.9285714285714286,0.33502969713024494,0.9054699202058099,0.88,0.9777777777777777,0.7857142857142857,0.9565217391304348,1.0,1.0,0.9636303618630173,1.0,0.09942148353987444,0.15342796798342867,0.7931034482758621,0.9655172413793104
logistic,grouped,fixed_C_10.0,physical_source,29,687,1.0,0.9285714285714286,0.9054699202058099,0.9777777777777777,0.9565217391304348,1.0,0.9999999999999998,0.02860431610068796,0.9655172413793104,0.9999999999999999,1.0,0.7857142857142857,1.0,0.7091242083423347,1.0,0.9361702127659575,1.0,0.88,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.00375590602271538,0.07447129002083716,0.896551724137931,1.0
