seed,fold,training_sources,training_sources_per_class,test_sources,training_source_ids,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
203,grouped-01,10,5,6,4u_1254_69|4u_1608_522|4u_1636_536|4u_1735_444|gs_1354_64|gx_339_4|hete_j1900_1_2455|v4641_sgr|xte_j1118_480|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12008892082253735,1.0
204,grouped-01,4,2,6,1a_1744_361|cyg_x_2|v4641_sgr|xte_j1550_564,1.0,0.625,0.31622776601683794,0.4,1.0,0.25,1.0,0.19709545973544082,0.5
204,grouped-01,6,3,6,4u_1735_444|mxb_1658_298|ser_x_1|v4641_sgr|xte_j1118_480|xte_j1550_564,1.0,0.625,0.31622776601683794,0.4,1.0,0.25,1.0,0.218226032005064,0.5
204,grouped-01,10,5,6,4u_1608_522|4u_1636_536|cyg_x_2|gs_1354_64|gx_339_4|sax_j1806_5_2215|slx_1735_269|v4641_sgr|xte_j1118_480|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1206476214908897,1.0
200,grouped-02,4,2,6,4u_1636_536|4u_1746_37|gx_339_4|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04089999557038983,1.0
200,grouped-02,6,3,6,4u_0614_09|4u_1735_444|gs_1354_64|gx_339_4|sax_j1750_8_2900|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020671149058631818,1.0
200,grouped-02,10,5,6,gs_1354_64|gx_339_4|mxb_1658_298|sax_j1750_8_2900|sax_j1806_5_2215|sax_j1810_8_2609|ser_x_1|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03188010771399843,1.0
201,grouped-02,4,2,6,4u_1543_475|gs_1354_64|sax_j1750_8_2900|sax_j1810_8_2609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008585459692334237,1.0
201,grouped-02,6,3,6,4u_1254_69|4u_1746_37|gs_1354_64|gx_339_4|mxb_1658_298|xte_j1118_480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020579597535038546,1.0
201,grouped-02,10,5,6,4u_1543_475|4u_1705_44|gx_339_4|ks_1731_260|mxb_1658_298|sax_j1750_8_2900|sax_j1808_4_3658|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060513595590935824,1.0
202,grouped-02,4,2,6,aql_x_1|gx_339_4|mxb_1658_298|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07722670257963196,1.0
202,grouped-02,6,3,6,4u_1254_69|4u_1735_444|gs_1354_64|gx_339_4|sax_j1808_4_3658|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.056448028383293325,1.0
202,grouped-02,10,5,6,4u_1543_475|4u_1705_44|4u_1735_444|aql_x_1|gs_1354_64|gx_339_4|sax_j1810_8_2609|ser_x_1|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05717323197266307,1.0
203,grouped-02,4,2,6,4u_1636_536|gs_1354_64|sax_j1806_5_2215|xte_j1118_480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01951738072590142,1.0
203,grouped-02,6,3,6,4u_1543_475|4u_1728_34|4u_1735_444|gs_1354_64|mxb_1658_298|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052685752007611004,1.0
203,grouped-02,10,5,6,4u_0614_09|4u_1254_69|4u_1543_475|4u_1746_37|aql_x_1|gs_1354_64|gx_339_4|igr_j00291_5934|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.040172274114740426,1.0
204,grouped-02,4,2,6,4u_1254_69|4u_1543_475|4u_1735_444|xte_j1859_226,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.09487565567390559,0.8333333333333334
204,grouped-02,6,3,6,4u_1543_475|4u_1705_44|4u_1735_444|sax_j1810_8_2609|xte_j1118_480|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08197833185053917,1.0
204,grouped-02,10,5,6,4u_0614_09|4u_1543_475|4u_1636_536|4u_1728_34|4u_1735_444|gs_1354_64|mxb_1658_298|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.050599711604020596,1.0
200,grouped-03,4,2,6,4u_1543_475|4u_1702_429|gs_1354_64|sax_j1750_8_2900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08098540419036948,1.0
200,grouped-03,6,3,6,4u_1608_522|gs_1354_64|ks_1731_260|ser_x_1|xte_j1550_564|xte_j1859_226,1.0,0.75,0.6324555320336759,0.8888888888888888,0.8,1.0,1.0,0.12997014498873763,0.8333333333333334
200,grouped-03,10,5,6,4u_1543_475|4u_1636_536|4u_1702_429|4u_1705_44|gs_1354_64|hete_j1900_1_2455|ser_x_1|v4641_sgr|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10480003717343729,1.0
201,grouped-03,4,2,6,igr_j00291_5934|ser_x_1|v4641_sgr|xte_j1550_564,1.0,0.75,0.6324555320336759,0.8888888888888888,0.8,1.0,1.0,0.16517114462603563,0.8333333333333334
