rxte_obsid,native_channels_used,minimum_keV,maximum_keV,native_grid_id,native_array_path,gain_epoch,calibration_identifier,response_identifier,transformation,output_bins,output_minimum_keV,output_maximum_keV
91025-01-08-04,46,4.883195877075195,25.730318069458008,908af72d417fd3f9fa76781b975a2842d4a3b39b36f247e43614853023226066,data/processed/native/91025-01-08-04.npz,response_specific_EBOUNDS,1df97ba195eedc2a691cbbfd093b0abbdaaf4105ade8e0f0635bbf509be927a2,xp91025010804.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-08-05,46,4.8833088874816895,25.73093605041504,9b42b7679b90d12c21caf1bd216dd20ff1999acfb62766d49a263d9c6b4a4d24,data/processed/native/91025-01-08-05.npz,response_specific_EBOUNDS,996a9cd8d0680a565cf6a3b6551bc38ba051289fda584d79f7d118934fb9b0db,xp91025010805.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-09-01,46,4.8810038566589355,25.71828842163086,5489124df83aeeab17cf3ad2c57ff5fad46b79edf4a1792235e355c3ff2b3da5,data/processed/native/91025-01-09-01.npz,response_specific_EBOUNDS,9250dd3b3165ea1fe5813f2733eda4ac1a18676b2a59ab6ef77a6fc21301f964,xp91025010901.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-09-07,46,4.880947589874268,25.717981338500977,0d388188e124be4bd0c9926544c7011a49156b08894f75e487f38bd402b5bd10,data/processed/native/91025-01-09-07.npz,response_specific_EBOUNDS,f5fc2368b847127e4c5ad28aa8a76685c6b53a73c062a7b34144b817cfc1344e,xp91025010907.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-09-18,46,4.880919456481934,25.71782684326172,4abcd5dad8f41cf9f3c7e57cbdf627d25f60dc8f854f3102aaed5445b587275f,data/processed/native/91025-01-09-18.npz,response_specific_EBOUNDS,568694df8104631af947b2f1c48a48b586024e6e8399e23331aafc5287c50470,xp91025010918.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-10-01,46,4.873961925506592,25.67966079711914,138ddc5fa26e5a29b83811a353fc21e68147d5c171f82c3ca8456edd1680e7b9,data/processed/native/91025-01-10-01.npz,response_specific_EBOUNDS,4d4227f284d624c3a7c05c009adb9735617cd7b717072f152d1045fac0f0b51a,xp91025011001.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-11-10,46,4.873878002166748,25.67919921875,4a2c194d3eea7793bfc609f556d4df56def4ba59c84dfffc176464eabb22d83d,data/processed/native/91025-01-11-10.npz,response_specific_EBOUNDS,9e8283254146f4848f55c9a7b06c4a01c236ce6ebacb8f7f0c2cbd0631e7d771,xp91025011110.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-12-00,46,4.87230920791626,25.670595169067383,a47b8cefd2430a270cc10ac629ae5abf0e6da9d7445a928bf359fa66ac9baee0,data/processed/native/91025-01-12-00.npz,response_specific_EBOUNDS,bda10c6a88dcf25147bef0f12080fd5fb859a4db26018328e7994d795964e275,xp91025011200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-13-10,46,4.872645378112793,25.67243766784668,a5c031bc73f91a449223dc803584fcf9d0bc3fda8e366e08647fafc56a7eaf4a,data/processed/native/91025-01-13-10.npz,response_specific_EBOUNDS,bdb3b1de12dcc80f18f761ccf2e25ccfafa45e94e057f49208e9a48562077202,xp91025011310.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91025-01-16-09,46,4.860578536987305,25.606266021728516,c03a2f7c172171e49113646ec6e583844f1f3c2c31ec84123bc4be0c378aa5fe,data/processed/native/91025-01-16-09.npz,response_specific_EBOUNDS,18ecd07fc6de39fec44eb0d8575f5403aa1bd1bf8b10bbccc4b8159447502e7d,xp91025011609.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
