provenance_record_id,observation_id,rxte_obsid,source_id,status,original_location,raw_path,raw_sha256,product_path,product_sha256,acquisition_date,preprocessing_method,feature_extraction_version,source_mapping_reference,source_mapping_status,flux_units,error_units,error_definition,zero_error_policy,zero_error_reason,energy_grid_id,pm_definition_id,processing_log_path,processing_log_sha256
20084-02-01-03,20084-02-01-03,20084-02-01-03,4u_1702_429,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-02-01-03/stdprod/xp20084020103_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-02-01-03/source-93f5469fccdd.bin,93f5469fccdd5531e3051d018f635424d43377961b2ccd70dab5a674a8a796c1,data/processed/native/20084-02-01-03.npz,49e8c83959fc7ba831c3dbbeafdbe51af2a8dd0c004f776ffc66c8bcc0bbcb9f,2026-09-22T11:05:52.698926+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-02-01-03/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,,data/provenance/rxte_processing/20084-02-01-03.json,11d00eb5d009eaf1fb6bfb0ac0899bed3d6efb24e41fb3bc3e4315ec11143ef6
20084-02-02-01,20084-02-02-01,20084-02-02-01,4u_1702_429,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-02-02-01/stdprod/xp20084020201_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-02-02-01/source-7b5916c24779.bin,7b5916c2477910a202573abad3d2841d6baae335c7a88a14a84c7f9caafd686e,data/processed/native/20084-02-02-01.npz,41983b4e39ba56b0435041dc5120d7f060c7b8f37a320e3276cd978e4d35e24f,2026-09-22T11:05:55.459452+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-02-02-01/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,,data/provenance/rxte_processing/20084-02-02-01.json,04efb11f6adaff6ee93ef510d47a7cb3d25c25c2c6e3e5f1adbca1576fe6128c
20089-02-01-00,20089-02-01-00,20089-02-01-00,slx_1735_269,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20089/20089-02-01-00/stdprod/xp20089020100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20089-02-01-00/source-b24bcc990345.bin,b24bcc990345292873037eaf09043c4e3c216da1433e3b2f989ef08667650143,data/processed/native/20089-02-01-00.npz,dad3f13a70f892b1d143cba77d7ef4b0edf27add17aba090e68452171d1692a4,2026-09-22T11:20:19.904320+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20089-02-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,edd54ab4ef7f270700e553616edf907d2e87e836851776be88796581ca4a682c,,data/provenance/rxte_processing/20089-02-01-00.json,810e980d80c0adc28139994d8703beca2c600813422d2ce1323c9f2b680dbc01
20092-01-02-02,20092-01-02-02,20092-01-02-02,aql_x_1,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20092/20092-01-02-02/stdprod/xp20092010202_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20092-01-02-02/source-37d91842f397.bin,37d91842f39721fcf90ae04304c1cb252ff428159583202c88a125ac8ba1d4f3,data/processed/native/20092-01-02-02.npz,201ee0079d11f9a3362546696fdcab400db0766723b101c054ef2d0eb1acc0a4,2026-09-22T11:09:43.708916+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20092-01-02-02/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,712287b664abb520f35198e5e16390a263a76c6f9f0875621f80d4559dfc49cf,,data/provenance/rxte_processing/20092-01-02-02.json,cdbc8286f6087b4172bce6c9b7d1e86503a6390511a3ea574d6530fbf812c857
20092-01-04-00,20092-01-04-00,20092-01-04-00,aql_x_1,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20092/20092-01-04-00/stdprod/xp20092010400_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20092-01-04-00/source-b33903509ec0.bin,b33903509ec0c10a5edaa9f26d1fc9be58a43c8bf87c8449a85f40fafccc93c6,data/processed/native/20092-01-04-00.npz,dea91e9a3cb5ca054479f42e164668e0fb436b5e3a987cd89036750bfb43d799,2026-09-22T11:09:45.700260+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20092-01-04-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,,data/provenance/rxte_processing/20092-01-04-00.json,972218a44151077a30ca7c9170dce66b4f7f34eff6d22757b13cdd34c66eff2e
20098-03-01-00,20098-03-01-00,20098-03-01-00,aql_x_1,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20098/20098-03-01-00/stdprod/xp20098030100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20098-03-01-00/source-35b2884006b4.bin,35b2884006b420ba5ff6c8ce8d243b7d610018c69fdad090d8a53e560b20570b,data/processed/native/20098-03-01-00.npz,27a15acbc213bcb31a64f69a9245fa37441daa6ac65962f41d5cce29d7950670,2026-09-22T10:56:09.113298+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20098-03-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,cf0de99acffb52f1a31e1643b9ed7edc5cfbac3aba7cad749987c78838c4e85a,,data/provenance/rxte_processing/20098-03-01-00.json,5c0fe97e2839860acb94d2a683654dd5855196820d9f08b6a6288ae8c4f1034b
20170-03-01-00,20170-03-01-00,20170-03-01-00,slx_1735_269,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20170/20170-03-01-00/stdprod/xp20170030100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20170-03-01-00/source-f192bf140690.bin,f192bf140690147e9e35cd4cb1f2cee2fb58fd56f5622247fbe2f1a48867af84,data/processed/native/20170-03-01-00.npz,efc1ece7f2bc8fc7e28c0887974b1f9775ec44b69b7d35f66d9b42adb9a3d30a,2026-09-22T10:57:00.879155+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20170-03-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,de32880a916a779502cae4cb0630047ed4bb515f207e5551c3f153f2937d75dd,,data/provenance/rxte_processing/20170-03-01-00.json,ddbbf0056f2a7fa65a9d3f0b2545714aaca7e23d4f8f0d08634e851a616298b1
20170-03-03-00,20170-03-03-00,20170-03-03-00,slx_1735_269,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20170/20170-03-03-00/stdprod/xp20170030300_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20170-03-03-00/source-412d14033041.bin,412d140330419c4df518ea4c539170c35b10cf019b5975dcee23877deec2b82b,data/processed/native/20170-03-03-00.npz,d48fa42e3986a9aa2a957d994500d468e0bca6ac38f66a54fce9073f3e47af1a,2026-09-22T11:20:09.776200+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20170-03-03-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,26f1578c531ff7c8b905e82ffe53c973742fe8d0d68c17c306c86b11b57c2652,,data/provenance/rxte_processing/20170-03-03-00.json,a6a3ef22b72f207712cdc8dfaf11c3fc01f774aafaf2243698278c9b42bee279
20170-03-06-00,20170-03-06-00,20170-03-06-00,slx_1735_269,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20170/20170-03-06-00/stdprod/xp20170030600_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20170-03-06-00/source-c37de84ca460.bin,c37de84ca4605a813ca96ffaeed90604e0bd636125d523134329e06ac23e2e99,data/processed/native/20170-03-06-00.npz,0992112659459f00e83d091fc8ab9743c8a4c7c79ae204f9f4164f57003c5ec1,2026-09-22T11:20:13.508116+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20170-03-06-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,83a134423ce643aa3cea8c6db0044788d503ab227b0f7f196993acdc6b4c740b,,data/provenance/rxte_processing/20170-03-06-00.json,b3fbb0a9d09bceb80725717e1a6949bea3026a9e935619ed6fca57eb419a12a7
20170-03-08-00,20170-03-08-00,20170-03-08-00,slx_1735_269,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20170/20170-03-08-00/stdprod/xp20170030800_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20170-03-08-00/source-0aa2e8be6bdd.bin,0aa2e8be6bdd69adc0031d2ecec35e642220fc39df33e01b9a13f407689552e2,data/processed/native/20170-03-08-00.npz,716f7a540968b7314078c14b79dcebda5394eb201e9c71e82073105e6c5034a4,2026-09-22T11:20:18.706515+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20170-03-08-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,51340431f6c950fa5f0707e0cf240f584831b865c4b07624b3f8b5105c674574,,data/provenance/rxte_processing/20170-03-08-00.json,80f74f95e40ab42ead7d16cc76760b2c7046821970eb1d755be651d31fa47018
