permutation_seed,model,split,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
100,forest,observation,0.8831168831168832,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9568031988525538,0.12505126600796254,0.7931034482758621
100,forest,grouped,0.487012987012987,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.795292533862283,0.20528843880480155,0.7241379310344828
101,forest,observation,0.9675324675324675,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.990592885375494,0.12088582513650183,0.7931034482758621
101,forest,grouped,0.5064935064935066,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.750744048126864,0.19591921523256955,0.7586206896551724
102,forest,observation,0.9545454545454546,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9868899216725302,0.1163263974031416,0.8275862068965517
102,forest,grouped,0.20779220779220778,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.6296881679048015,0.24140342938403522,0.7241379310344828
103,forest,observation,0.9545454545454546,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9868899216725302,0.10648700444936535,0.8620689655172413
103,forest,grouped,0.5844155844155845,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.8236207399724146,0.18263529131971565,0.7586206896551724
104,forest,observation,0.8961038961038962,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9700126579073947,0.1297769580501456,0.8275862068965517
104,forest,grouped,0.5,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.7365179227207345,0.20740427334442385,0.7586206896551724
105,forest,observation,0.9870129870129871,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9959575997125403,0.09899585988776358,0.7931034482758621
105,forest,grouped,0.7532467532467533,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.926187334835967,0.1691825128817264,0.7586206896551724
106,forest,observation,0.9870129870129871,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9959575997125403,0.09345200830131234,0.8620689655172413
106,forest,grouped,0.7597402597402597,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.8502945101541358,0.16928261581874468,0.7586206896551724
107,forest,observation,0.9415584415584416,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9843097643097642,0.11791442070145934,0.7931034482758621
107,forest,grouped,0.38311688311688313,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7664005714125035,0.20926683182974087,0.7586206896551724
108,forest,observation,0.9805194805194806,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.993793097548038,0.0990775806484874,0.8620689655172413
108,forest,grouped,0.4610389610389611,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7400456404282942,0.20684696341335485,0.7586206896551724
109,forest,observation,0.9870129870129871,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9959575997125403,0.12060631981763884,0.7931034482758621
109,forest,grouped,0.37012987012987014,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.7380672938057246,0.22848755117344866,0.7241379310344828
110,forest,observation,1.0,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9999999999999998,0.10766557617826186,0.8275862068965517
110,forest,grouped,0.4675324675324676,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.804773876147103,0.20366602786453136,0.7586206896551724
111,forest,observation,0.9415584415584415,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9804507155914417,0.11793887289049114,0.7931034482758621
111,forest,grouped,0.487012987012987,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.757176446106652,0.19479033706057788,0.7586206896551724
112,forest,observation,0.8961038961038961,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9626764106081185,0.1232226289995533,0.8275862068965517
