cohort,class_label,sources,observation_year,exposure,num_selected_pcus,net_count_rate,background_fraction
PRIMARY_29,BH,7,2000.498288843258,2255.99999999974,2.0,63.97915797296641,0.1296106409496963
PRIMARY_29,NS,22,2005.045516769336,2851.999999999835,1.0,62.46541136961699,0.1359994578054851
DETECTOR_MATCHED,BH,7,2000.466803559206,2183.99999999979,2.5,67.2173634833099,0.1296106409496963
DETECTOR_MATCHED,NS,22,2005.8394934976045,2755.99999999995,1.0,62.5823111731219,0.1308208965884037
