file,original_sha256,packaged_sha256,changed,change
S3_PRIMARY_SAME_OBSIDS_forest_grouped.csv,f262773634eb460d3f00e47082634628faac2e0d1802bf758c5182c599a71748,f262773634eb460d3f00e47082634628faac2e0d1802bf758c5182c599a71748,False,byte-identical
S3_PRIMARY_SAME_OBSIDS_forest_loso.csv,18966752f760601b5705388270694a2bddf4f8bf56be52d3bb38711c4676187b,18966752f760601b5705388270694a2bddf4f8bf56be52d3bb38711c4676187b,False,byte-identical
S3_PRIMARY_SAME_OBSIDS_logistic_grouped.csv,ec1db06966875fa14a313eaa82fd6673cdbf81c02de6878e559b906f0e16dc8c,ec1db06966875fa14a313eaa82fd6673cdbf81c02de6878e559b906f0e16dc8c,False,byte-identical
S3_PRIMARY_SAME_OBSIDS_logistic_loso.csv,2f6f7bc07be7e31cd04f5729358b4fa973ca857662cc295d18ac22bed8c47b41,2f6f7bc07be7e31cd04f5729358b4fa973ca857662cc295d18ac22bed8c47b41,False,byte-identical
S3_primary_LOSO.csv,bc6d2678e7980be298733365e0a2507731d4cb3badda62d1299bec525264f37d,bc6d2678e7980be298733365e0a2507731d4cb3badda62d1299bec525264f37d,False,byte-identical
S4_HEASoft_randomization.csv,9ef591334eb3d362878f872c75b642ebd67970c59caca10d840d55c32d1dc4ab,9ef591334eb3d362878f872c75b642ebd67970c59caca10d840d55c32d1dc4ab,False,byte-identical
S4_all_validation_metrics_tidy.csv,c45032d342d7607c9c07739cfd244f5220a0420b479f41a5c899d86d92788b87,c45032d342d7607c9c07739cfd244f5220a0420b479f41a5c899d86d92788b87,False,byte-identical
S4_detector_configuration.csv,0f9f227a9380765b4e2231546da1820e3a773d3e9fc3fe29ccf79f008abfc234,0f9f227a9380765b4e2231546da1820e3a773d3e9fc3fe29ccf79f008abfc234,False,byte-identical
S4_epoch_distribution.csv,fa4ec94ca1483b0ff0a008ec802a3e5a41103b6380707b6587dea46e81a143be,fa4ec94ca1483b0ff0a008ec802a3e5a41103b6380707b6587dea46e81a143be,False,byte-identical
S4_epoch_holdout.csv,2c96517d345a571f1a4e0f78a0e94d3b3c85cc2249fe52a23b4c95420c981f47,2c96517d345a571f1a4e0f78a0e94d3b3c85cc2249fe52a23b4c95420c981f47,False,byte-identical
S4_full_diagnostic_metrics.json,4f0b0338d749355198c871570421c8ba9627b7b983db487dbf90afb6404f87e8,4f0b0338d749355198c871570421c8ba9627b7b983db487dbf90afb6404f87e8,False,byte-identical
S4_full_validation_metrics.json,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b,False,byte-identical
S4_paired_processing_effects.csv,9dbc1ed92535c6d9404e8e1dcd905cc0a6523674ecc33945d877ccdbe449034c,9dbc1ed92535c6d9404e8e1dcd905cc0a6523674ecc33945d877ccdbe449034c,False,byte-identical
S4_residual_imbalance.csv,59980419d636307dbe7c750296649a1b0d8895d4bac099df38e9c0633aee0a20,59980419d636307dbe7c750296649a1b0d8895d4bac099df38e9c0633aee0a20,False,byte-identical
S4_validation_metrics.csv,c6ab4a96aa85cb61e7c21d065080bb3deba0adaf4bb901c30a2fe7d15207b83c,c6ab4a96aa85cb61e7c21d065080bb3deba0adaf4bb901c30a2fe7d15207b83c,False,byte-identical
S5_closure.json,03a20891c2d09c5ab0bd2cd4bf8c6d8b1b0b20532a0c16de562ae4a15df9ed8b,03a20891c2d09c5ab0bd2cd4bf8c6d8b1b0b20532a0c16de562ae4a15df9ed8b,False,byte-identical
