model,split,observations,BH_sources,NS_sources,cohort,status,AUROC,balanced_accuracy,MCC,F1,PR_AUC,Brier,AUROC_lower,AUROC_upper,balanced_accuracy_lower,balanced_accuracy_upper,MCC_lower,MCC_upper,F1_lower,F1_upper,PR_AUC_lower,PR_AUC_upper,Brier_lower,Brier_upper
logistic,grouped,213,9,22,PROXY_ONLY,COMPLETED,0.9646464646464648,0.7222222222222222,0.6017806225656267,0.8979591836734694,0.986699134199134,0.11176151103422204,0.898989898989899,1.0,0.5555555555555556,0.8888888888888888,0.2854496128592251,0.8443713418650369,0.8461538461538461,0.9565217391304348,0.9628760402609087,1.0,0.08358566205321405,0.13920751111154872
logistic,loso,213,9,22,PROXY_ONLY,COMPLETED,0.8585858585858586,0.7777777777777778,0.6856277926728687,0.9166666666666666,0.933176494722769,0.13699869740057496,0.6868686868686869,0.98989898989899,0.6111111111111112,0.9444444444444444,0.41058784136762644,0.9220854330774995,0.8627450980392157,0.9777777777777777,0.8588848527093991,0.995959845490478,0.09194999371544768,0.18260051113051706
forest,grouped,213,9,22,PROXY_ONLY,COMPLETED,0.8636363636363636,0.6994949494949495,0.4924054147377875,0.875,0.9374632471099029,0.12504027294838474,0.7070707070707071,0.9900252525252519,0.5426767676767676,0.8888888888888888,0.12131004404043509,0.8434343434343434,0.8,0.9545454545454546,0.8656499336304253,0.9962574110671935,0.061374881350566596,0.1917581861312724
forest,loso,213,9,22,PROXY_ONLY,COMPLETED,0.898989898989899,0.7550505050505051,0.5860614417175161,0.8936170212765957,0.9567355736278669,0.12228997346774668,0.7676767676767676,1.0,0.5883838383838385,0.9217171717171717,0.2263009527424072,0.8443713418650369,0.8163265306122449,0.9565217391304348,0.8981668408652932,0.9999999999999999,0.06210462193450144,0.18540142221546443
