common_regime,BH_sources,BH_observations,BH_DIRECT_sources,BH_STRONG_sources,NS_sources,NS_observations,NS_DIRECT_sources,NS_STRONG_sources,PASS
HARD_DOMINATED,6,19,2,4,4,10,3,2,False
SOFT_DOMINATED,2,2,0,2,1,2,0,1,False
