rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
93155-01-03-01,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54654.85481,2251.0,1323.0,AO12/P93155/93155-01-03-01,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-03-03,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54654.92255,2366.0,1139.0,AO12/P93155/93155-01-03-03,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,True
93155-01-06-01,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54662.29105,5400.0,3403.0,AO12/P93155/93155-01-06-01,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-06-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54664.01695,2346.0,1148.0,AO12/P93155/93155-01-06-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-07-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54665.45087,3684.0,1889.0,AO12/P93155/93155-01-07-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-07-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54670.14779,1578.0,1397.0,AO12/P93155/93155-01-07-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-08-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54672.50326,5567.0,3383.0,AO12/P93155/93155-01-08-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-08-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54678.84945,4110.0,3570.0,AO12/P93155/93155-01-08-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-09-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54681.92508,4317.0,3722.0,AO12/P93155/93155-01-09-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-10-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54686.24229,5714.0,2052.0,AO12/P93155/93155-01-10-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
93155-01-10-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,93155,12,54692.54869,3600.0,1437.0,AO12/P93155/93155-01-10-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
