obsid,module,status,observed_model_flux_band0_erg_cm2_s,flux_band0_statistical_sigma,observed_model_flux_band1_erg_cm2_s,flux_band1_statistical_sigma,observed_model_flux_band2_erg_cm2_s,flux_band2_statistical_sigma,observed_model_flux_band3_erg_cm2_s,flux_band3_statistical_sigma,A0,A0_statistical_sigma,A1,A1_statistical_sigma,A2,A2_statistical_sigma,A3,A3_statistical_sigma,B0,B0_statistical_sigma,B1,B1_statistical_sigma,B2,B2_statistical_sigma,B3,B3_statistical_sigma,C0,C0_statistical_sigma,C1,C1_statistical_sigma,C2,C2_statistical_sigma
10601308002,FPMA,DIAGNOSTIC_NOT_FROZEN,1.7630888377404554e-11,2.567871263969467e-13,5.165334504807461e-12,1.3539370978348287e-13,3.698867935688046e-12,1.8645523756737463e-13,3.0420458583736305e-12,2.968004553051316e-13,-10.753725804111099,0.0063253325431355195,-11.286901548512605,0.01138372374308965,-11.4319311744499,0.021892233571298842,-11.516834243311127,0.04237240527146574,0.5969058060921295,0.00865929913751651,0.17487593876885912,0.004315105314884892,0.1252277082991337,0.005591541725009582,0.10299054683987753,0.009083528306110717,-0.5331757444015055,0.012319145325300571,-0.08490306886122666,0.04599764224355265,-10.529631607397997,0.007035723979760193
10601308002,FPMB,DIAGNOSTIC_NOT_FROZEN,1.699032263920104e-11,2.5490721214085364e-13,5.187373165966704e-12,1.3812299676470395e-13,3.787703058757929e-12,1.9561397832034918e-13,3.0791133981853674e-12,2.942234942891705e-13,-10.769798373980029,0.00651575593830631,-11.285052508881138,0.011563859664542332,-11.421624075338704,0.02242891537425013,-11.511574316520871,0.041498841871619535,0.5849753125778995,0.008827914435674721,0.17860080138903564,0.0044800038770218984,0.13041028282988382,0.00589098643558017,0.1060136032031811,0.009118039356741266,-0.5152541349011104,0.012540702696314205,-0.08995024118216814,0.04492026677813469,-10.536935912134984,0.007243257838181422
30363002002,FPMA,DIAGNOSTIC_NOT_FROZEN,4.250716528173881e-10,9.821167885178191e-13,2.2294853029860148e-10,7.22159576416825e-13,9.480759082797045e-11,7.003204747340353e-13,3.202396200480851e-11,6.576336075041933e-13,-9.371537856301932,0.0010034258906958192,-9.65179538622225,0.0014067368763156368,-10.02315688921549,0.003208027069190405,-10.494524938176239,0.008918529406521129,0.5485845008747491,0.0010733865099243252,0.28773056825588933,0.0007621327494323458,0.12235578295747526,0.0007893349968748322,0.041329147911886285,0.0008135366454023474,-0.2802575299203182,0.0016068827597329504,-0.47136804896074885,0.008998305126899258,-9.110781389647626,0.0009542312579118668
30363002002,FPMB,DIAGNOSTIC_NOT_FROZEN,4.1257895555767595e-10,9.911022310506704e-13,2.1626344848631025e-10,7.35703744648334e-13,9.196155876261714e-11,7.239431755531903e-13,2.959486646842437e-11,6.550265658015752e-13,-9.384492927885555,0.0010432675349752209,-9.665016876132329,0.0014774206129269042,-10.03639367598186,0.0034188690425077353,-10.528783615217632,0.009612289460105368,0.549812898770478,0.0011277972564508177,0.28819800891113573,0.0008008612815574621,0.12255024285080865,0.0008413291248305776,0.039438849467577725,0.0008378978235273567,-0.28052394824677246,0.0016828644170518085,-0.49238993923577196,0.009667372851228408,-9.12470785218735,0.0010004374997888898
